name,symbol,fullname,Second
18S RRNA,18S RRNA,"NA",NA
25S RRNA,25S RRNA,"NA",NA
5.8S RRNA,5.8S RRNA,"NA",NA
AAN,AAN,ANOTHER ANDANTE,NA
AAR1,AAR1,ALLYL ALCOHOL RESISTANT 1,NA
AAR2,AAR2,ALLYL ALCOHOL RESISTANT 2,NA
ACL1,ACL1,ACAULIS 1,NA
ACL2,ACL2,ACAULIS 2,NA
ACL3,ACL3,ACAULIS 3,NA
ACL4,ACL4,ACAULIS 4,NA
ADD1,ADD1,ARRESTED DEVELOPMENT 1,NA
ADD2,ADD2,ARRESTED DEVELOPMENT 2,NA
ADD3,ADD3,ARRESTED DEVELOPMENT 3,NA
ADE1,ADE1,ABA DEREGULATED GENE EXPRESSION 1,NA
AGE1,AGE1,AUXIN ALTERED GENE EXPRESSION 1,NA
AGE2,AGE2,AUXIN ALTERED GENE EXPRESSION 2,NA
AGI1,AGI1,ABERRANT GST1 INDUCTION,NA
AHR1,AHR1,ALTERED HYDROTROPIC RESPONSE 1,NA
AK2,AK2,ASPARTATE KINASE 2,NA
ALB2,ALB2,ALBINA 2, M4-6-18--NA
ALF3,ALF3,ABERRANT LATERAL ROOT FORMATION 3,NA
ALI,ALI,ALIEN,NA
ALR-104,ALR-104,ALUMINUM RESISTANT 104,NA
ALR-128,ALR-128,ALUMINUM RESISTANT 128,NA
ALS2,ALS2,ALUMINUM SENSITIVE 2,NA
ALS4,ALS4,ALUMINUM SENSITIVE 4,NA
ALS5,ALS5,ALUMINUM SENSITIVE 5,NA
ALS7,ALS7,ALUMINUM SENSITIVE 7,NA
AMOS2,AMOS2,ammonium overly sensitive 2,NA
AND,AND,ANDANTE,NA
ANL1,ANL1,ANTHOCYANINLESS 1,NA
ARA1,Ara1,Ara1,NA
ARA2,ARA2,"NA",NA
ARC10,ARC10,ACCUMULATION AND REPLICATION OF CHLOROPLASTS 10,NA
ARC2,ARC2,ACCUMULATION AND REPLICATION OF CHLOROPLASTS 2,NA
ARC4,ARC4,ACCUMULATION AND REPLICATION OF CHLOROPLASTS 4,NA
ARC7,ARC7,ACCUMULATION AND REPLICATION OF CHLOROPLASTS 7,NA
ARC8,ARC8,ACCUMULATION AND REPLICATION OF CHLOROPLASTS 8,NA
ARC9,ARC9,ACCUMULATION AND REPLICATION OF CHLOROPLASTS 9,NA
ARP1,ARP1,ALTERED RNASE PROFILES 1,NA
ARS1,ARS1,ARSENIC RESISTANCE 1,NA
ART1,ART1,AERIAL ROSETTE 1,NA
ASC1,ASC1,ACCELERATION OF SYMPTOMS BY CAMV N7 1,NA
AT1G01010,ANAC001,NAC domain containing protein 1," NAC001--NAC domain containing protein 1,   NTL10--NA"
AT1G01020,ARV1,"NA",NA
AT1G01030,NGA3,NGATHA3,NA
