TF_id,WT_E5_0h_R1,WT_E5_0h_R2,WT_E5_4h_R1,WT_E5_4h_R2,WT_E5_8h_R1,WT_E5_8h_R2,WT_E5_16h_R1,WT_E5_16h_R2,WT_E5_24h_R1,WT_E5_24h_R2,WT_E5_48h_R1,WT_E5_48h_R2,WT_E5_48h_R3,WT_E5_72h_R1,WT_E5_72h_R2,WT_E5_72h_R3
ARR10,-1.3760588349369347,-1.2377413925572402,0.2241384526491305,-0.00803415141280527,-0.850046659840097,-0.21864951704140353,-0.09386842631539723,-0.21864951704140353,0.7398323791085591,1.2975429286165538,1.1503493803760079,0.5799240864668217,0.4933081483127475,1.109779588322558,1.0155807829346575,-0.554758540026558
BZR2,0.15866651137713356,-0.664437628128644,0.45732717854092003,0.48726806452123755,0.5610164475512408,0.20769120482982129,0.38128544450891133,0.7258206630767681,-0.126201215067101,0.1370065205978756,-0.2961781727012255,-0.15324492856537705,-0.13160194717659277,-0.9803303522249299,-0.4102481383343704,-0.3299298191830141
HY5,0.5672964029137779,0.5485222826980982,0.4044287858153808,0.5361131652220904,0.2850040675696817,0.10463345561407526,-0.6511382223610432,-0.6183801395736427,-0.8047912168496852,-0.7328085370796353,0.20769120482982129,0.1858478202909218,-0.03482131726034769,-0.24064656116152083,-0.4219288887485655,0.18040120698026213
PIF1,-0.554758540026558,-0.5735988114583386,-0.15324492856537705,-0.24064656116152083,0.27386543638531397,0.2850040675696817,0.15324492856537705,0.4044287858153808,0.5799240864668217,0.36406166020042563,0.3526391619229504,0.5237860596104457,0.2241384526491305,-0.36979067802381926,-0.06163349704763414,0.10463345561407526
SMZ,0.9051524750285039,-1.1713627674492542,-1.6224788658312,-1.3357716204898045,-1.663792785885074,-1.808602238312397,1.9673289538075784,1.602820185481948,-0.1749599401657325,0.23513679086214964,2.2651370034494636,0.9546720080897412,1.7561674016602142,-0.9890277338786998,-1.2975429286165538,2.143770476211643
SOC1,0.8812082251841601,0.797408756791946,0.517652342771608,0.8196894559643803,0.07236970645650206,0.4752407505132448,-0.6119085104632846,-0.5926449301635264,-0.8891329656800708,-0.35834456671086434,-0.6445316061066132,-0.6577733822383669,0.3355907674135362,-0.5799240864668217,-0.548522282698098,0.07236970645650206
SVP,-0.09386842631539723,-0.463281794980354,0.5299395463003201,0.24064656116152083,-0.3412624906578669,0.24064656116152083,-0.05626813256524087,-0.3928308136497293,-0.27386543638531413,-0.2850040675696815,0.4277908230703917,0.46328179498035416,0.1858478202909218,0.018747249718058422,0.013390508459676464,-0.4044287858153808
AP3,-0.19675777725486301,0.24616364666135948,0.797408756791946,0.6778556096439299,-0.3242794243706307,0.06700063638160315,0.5115380398553485,-0.5237860596104458,0.6511382223610432,0.6511382223610432,-0.9051524750285039,-0.4933081483127475,-0.3469452131673661,0.46328179498035416,0.21316716115049078,-1.03368798614595
FHY3,0.4336674943479457,-0.691396760526385,-0.6846104934522019,-1.2975429286165538,0.6778556096439299,-0.937910127211592,1.808602238312397,1.7316643961222455,-1.4187123129661308,-1.0709586242267903,0.9803303522249299,0.3299298191830141,-0.22963414956312947,0.45138873387405687,-0.3412624906578669,0.9462578347633593
FLC,-0.14782784646163197,0.4993662832382226,0.8577588417227449,0.9296272709001898,-0.7755170610270775,-0.4752407505132448,-0.8196894559643805,-0.8891329656800708,-1.1197495278759124,-1.2038890137412936,0.09386842631539723,0.6183801395736427,0.6119085104632844,0.6511382223610432,0.5610164475512408,0.5115380398553485
