TF_id,mean_value,pvalue,TFPeak_number,rank
FUS3,0.17912576702542637,1.9723519888818425e-60,3383,1
LEC2,0.1593806986963363,8.659685208811126e-57,2904,2
ABI3,0.16820023123389044,1.7224565087487353e-56,2370,3
AT5G66940,0.4879171179286436,1.9902601388836664e-55,37990,4
LEC1,0.45358301097079257,2.059970056047923e-54,48073,5
OBP3,0.5993021967009934,7.419153623061611e-54,51771,6
AT1G69570,0.40073539993224405,5.299002389389379e-53,31145,7
IDD2,0.2916401270735111,5.65164065302788e-51,24356,8
OBP1,0.25325302982182796,7.857760027119635e-50,18538,9
DOF5.3,0.28133449311656944,6.550775609562178e-49,23535,10
AT2G28810,0.2186591589737775,1.2243202234716915e-48,17649,11
BBM,0.7133610036906151,3.439963684633894e-42,69571,12
IDD4,0.18121699522723442,8.701305522706167e-41,12116,13
DOF2.4,0.16892879820730952,3.198932319296256e-39,13511,14
PI,0.3084711066050331,7.283149846634405e-39,27217,15
AT1G14580,0.2045110272446079,1.7917246235049783e-38,20816,16
AT5G02460,0.3214101570555307,5.999970200779879e-38,32970,17
JKD,0.16842977709064583,8.507058821140013e-38,14667,18
AT3G45610,0.1809423508018484,5.770018388174648e-37,13206,19
Adof1,0.2325689065055226,1.376663704899191e-36,18525,20
AP1,0.24858337327282976,1.6127451531213354e-35,23631,21
MGP,0.14339892385257658,7.024031390123747e-34,9353,22
IDD7,0.15277825754092267,1.9895307768369444e-33,9965,23
COG1,0.17644065339376233,3.6671836828257154e-32,15735,24
dof4.2,0.15643206445981225,5.610788704585251e-32,13792,25
SGR5,0.14909362566437184,2.0975441533057344e-31,10971,26
BPC1,0.6290388108579411,4.861570027134419e-31,68383,27
TCP3,0.07871907703099731,1.654439606203434e-30,4054,28
NUC,0.1091875330509536,6.553050368851327e-30,8497,29
TCP24,0.07982775324093,1.5613550595883725e-29,3996,30
SEP3,0.09154658296919704,2.659106593252106e-29,8558,31
TCP5,0.065516079634219307,4.817992652879426e-29,2854,32
BPC6,0.8196685007214248,1.2518205336997488e-28,43859,33
SVP,0.13845897997085627,2.3452886714981723e-28,8786,34
IDD5,0.11343034158486781,2.769689794777305e-28,9869,35
FLC,0.12583769543627446,2.7055712765642364e-27,8679,36
AHL12,0.0903699717303896,4.564130330754228e-27,5748,37.5
AHL25,0.0903699717303896,4.564130330754228e-27,5748,37.5
TCP4,0.05861930482259972,2.845251005657489e-26,3466,39
bHLH130,0.07990660489216674,3.4280503419196777e-25,2784,40
HY5,0.13617589510379663,4.49609238751721e-25,7185,41
PIF3,0.09084824176349034,6.760322954442519e-25,5392,42
MYC3,0.14369584198729546,9.424779769479232e-25,8498,43
AGL55,0.11023539942989105,1.0825116128609054e-24,10984,44
ATHB40,0.0788784796094825,6.4586835180797465e-24,4337,45
TCP19,0.06664522472226606,1.876325837158214e-23,4147,46
BEH3,0.10863044010827769,4.991335405017263e-23,6747,47
SOC1,0.08385564395622654,5.3125851732462e-23,7539,48
BPC5,0.5212689455922189,1.077814385051388e-22,58090,49
AP3,0.10571928739521562,1.6743933151260494e-22,7047,50
PIF4,0.12369604568334511,2.283445647312845e-22,7712,51
ATHB-16,0.056669452120881564,3.914560893467429e-22,4341,52
bHLH31,0.07447022661558197,1.5767488422007507e-21,5166,53
DOF5.6,0.07820896372796249,2.205911607485625e-21,5842,54
WRKY20,0.05932349421313738,4.41792770902859e-21,3615,55
ABI5,0.10701380726962824,7.777762112433997e-21,6169,56
ABF4,0.07619745250227627,1.0194006611854067e-20,4637,57
WRKY42,0.05970392509391666,1.3566315047361713e-20,3267,58
bZIP16,0.10815006158959908,1.8943603896822812e-20,6254,59
PIF5,0.06254080180516622,3.93145394913956e-20,3462,60
BZR2,0.09374792892029973,4.3636219305433987e-20,5875,61
ABF1,0.09163670220856264,5.3295346759185514e-20,5783,62
AREB3,0.1121018773783693,8.789429441407516e-20,6777,63
TCP1,0.054040135262512536,1.0510977172289223e-19,3946,64
PIF7,0.09351482043464664,3.3401423072480074e-19,6461,65
TCP20,0.051999644358795206,3.5965514296127307e-19,3529,66
DPBF3,0.0821177399310805,3.8099601292898107e-19,5170,67
TCP23,0.04986370655750591,3.935718235877399e-19,4800,68
TCP17,0.05126273729282857,4.164806712904549e-19,3543,69
bZIP68,0.0945532649736601,1.0223938015676577e-18,5820,70
SPT,0.08490307265153932,1.1099795213007496e-18,5670,71
ATHB18,0.05110257620794251,1.4646914335157646e-18,2661,72
ZHD3,0.04747572466076919,1.6269724465556076e-18,2856,73
