TF_id,mean_value,pvalue,TFPeak_number,rank
LEC2,0.985616591992241,0,3223,1
GSE26722.REV.Col-0_seedling_10d-DEX-90min,0.43808256280450525,8.685319626741086e-136,8497,2
GSE48081.KAN1.Col-0_seedling_10d-rep1,0.5346425980652452,6.454495315807899e-134,13845,3
GSE94307.HEC1.Col-0_seedling_12d,0.5256641182483957,1.921535849719169e-132,9084,4
GSE80566.AT5G50360.Col-0_seedling_4d-DEX-6h,0.524165650010701,8.203571867275153e-114,18922,5
GSE80564.GBF2.Col-0_seedling_3d-EtOH,0.5255784596988946,2.063060306604821e-109,19998,6
GSE80564.GBF2.Col-0_seedling_3d-ABA,0.5118970873889045,2.297677894943929e-109,19778,7
GSE80566.RBOHJ.Col-0_seedling_4d-DEX-6h,0.5102389640585911,1.8823572566845067e-108,17936,8
GSE52400.BBM.Col-0_somatic-embryo,0.49172773774125916,2.124117685904002e-108,16508,9
GSE80564.ABF4.Col-0_seedling_3d-ABA,0.45586148175884067,1.819408896765568e-105,16755,10
GSE80564.HAT22.Col-0_seedling_3d-EtOH,0.48720728157438864,5.602068045829085e-105,15811,11
GSE85922.WRKY18.Col-0_seedling_12d,0.46770689499258333,2.6509769105428257e-103,16559,12
GSE80564.MYB44.Col-0_seedling_3d-EtOH,0.4995528221048608,1.0517529611127944e-100,17295,13
GSE80564.HAT22.Col-0_seedling_3d-ABA,0.47237462922562545,5.813683615336043e-100,18250,14
GSE84483.FIE.Col_whole-plant_30h,0.46712751591639634,8.363746397773594e-100,9749,15
GSE80564.GBF3.Col-0_seedling_3d-ABA,0.48050565108554577,4.328372965676728e-99,20095,16
GSE80564.GBF3.Col-0_seedling_3d-EtOH,0.47910239035037216,9.361145327943688e-99,21728,17
GSE20176.AP1.Col_apical-meristem_DEX,0.39322221621949704,1.3968784593174733e-98,8289,18
GSE80564.ABF1.Col-0_seedling_3d-ABA,0.4739125481596169,3.1463319546730976e-98,18841,19
GSE94486.ARR10.Col-0_seedling_3d-6BA-4h,0.41186689705060187,1.5321101094959366e-97,9700,20
GSE94486.ARR10.Col-0_seedling_3d-mock-4h,0.4123948194217934,1.460071625637446e-95,11167,21
GSE80564.ATHB-5.Col-0_seedling_3d-EtOH,0.4811105386803305,6.361422402011879e-95,20711,22
GSE85922.WRKY40.Col-0_seedling_12d-flg22,0.3993598804551648,6.986002427115359e-95,13849,23
GSE85922.WRKY18.Col-0_seedling_12d-flg22,0.3997694042478384,7.483231333718923e-95,13718,24
GSE78727.RPL.Ler-0_inflorescence-apices,0.39513232893235267,3.053816740539062e-92,11583,25
GSE80564.MYB3.Col-0_seedling_3d-ABA,0.4538784927858725,1.2731696775661094e-90,17731,26
GSE94486.ARR12.Col-0_seedling_3d-mock-4h,0.4667378233632255,6.962258753594005e-90,16320,27
GSE80564.MYB3.Col-0_seedling_3d-EtOH,0.43324122149189015,1.2125565435122636e-89,12939,28
GSE80564.ZAT6.Col-0_seedling_3d-EtOH,0.4464497402832166,1.7921477537533353e-87,20509,29
GSE80564.ATHB-5.Col-0_seedling_3d-ABA,0.4466387726120278,1.934128026770041e-87,20564,30
GSE80564.ATHB-6.Col-0_seedling_3d-EtOH,0.4244644390651255,4.6724919168313785e-87,13217,31
GSE68193.PIF4.Col-0_seedling_5d,0.41941665093815544,1.3864957335827085e-84,13644,32
GSE80564.ANAC102.Col-0_seedling_3d-EtOH,0.39044435517141646,9.664164221775583e-84,12417,33
GSE85922.WRKY33.Col-0_seedling_12d-flg22,0.3979454292887326,3.0464303023901305e-83,17051,34
GSE80564.ABF4.Col-0_seedling_3d-EtOH,0.38329131711728426,3.2795714380604014e-83,12940,35
GSE66289.WRKY33.Col-0_leaves_4w-Bc,0.3618774491603468,6.830279781974868e-82,14506,36
GSE52400.BBM.Col-0_whole-embryogenic-seedling,0.433397458832371,2.7813465593154323e-81,21145,37
GSE80564.ATHB-7.Col-0_seedling_3d-EtOH,0.42196708142451844,1.277351141684879e-80,15259,38
GSE94486.ARR1.Col-0_seedling_3d-mock-4h-LD,0.3279772143237638,1.4529858866843157e-80,7096,39
GSE108455.AGL8.Ler_gynoecium_6w,0.4202773434341049,1.1450333396039698e-79,12754,40
GSE80564.ABF3.Col-0_seedling_3d-EtOH,0.41464941385300125,2.8861778788509557e-79,19565,41
GSE80564.ABF3.Col-0_seedling_3d-ABA,0.40462629678085416,3.3941808675898035e-79,21632,42
GSE46986.SEP3.Ler_inflorescence_4w-8d,0.38889494352252174,4.906998121086858e-79,10211,43
GSE80564.MYB44.Col-0_seedling_3d-ABA,0.43650594747948745,7.470417546351828e-79,21869,44
GSE99587.NFYB9.Ws-0_seeds-bent-cotyledon-stage,0.4367388946765085,1.0540429082813009e-75,18861,45
GSE94486.ARR1.Col-0_seedling_3d-6BA-72h,0.41821890152693875,1.252056976079941e-75,21115,46
