TF_id,num_TFHit_inputFeature,inputRatio,bgRatio,pvalue,odds_ratio,padj,qvalue,rank
FUS3,430,430/1447,2805/22994,2.1865711176878274e-76,3.413168967162917,1.0233152830779031e-73,1.929327456783377e-74,1
LEC2,387,387/1447,2455/22994,4.203134015896768e-71,3.4386372381988566,1.962863585423791e-68,1.8543238305426917e-69,2
ABI3,267,267/1447,1369/22994,2.182434383965373e-66,4.197524057273262,1.0170144229278638e-63,6.418924658721686e-65,3
HBI1,306,306/1447,2799/22994,1.324439853748409e-23,2.0496756928661224,6.1586453199301024e-21,2.921558500915608e-22,4
TCP24,350,350/1447,3412/22994,2.399319628355824e-22,1.9260903312651407,1.1132843075571024e-19,4.2340934618043956e-21,5
TCP3,347,347/1447,3437/22994,5.875676803728084e-21,1.884288510478392,2.720438360126103e-18,8.640701181953064e-20,6
bHLH80,264,264/1447,2421/22994,5.0492922154925815e-20,2.0060127599748023,2.3327730035575726e-17,6.36465405314191e-19,7
bHLH130,269,269/1447,2491/22994,7.865312184950065e-20,1.9859633404273274,3.62590891726198e-17,8.674976674577277e-19,8
TCP5,271,271/1447,2544/22994,3.6399895828462035e-19,1.9540100285170294,1.6743952081092535e-16,3.5686172380845134e-18,9
TCP21,307,307/1447,3169/22994,8.3809194727147885e-16,1.7581012190147758,3.846842037976088e-13,7.394928946513048e-15,10
OBP3,882,882/1447,11697/22994,1.0717948586068917e-15,1.5490415865534388,4.908820452419563e-13,8.22488752907124e-15,11
IDD2,790,790/1447,10232/22994,1.1185847039536887e-15,1.541511253990045,5.111932097068357e-13,8.22488752907124e-15,12
PIF3,378,378/1447,4137/22994,1.2419622977625906e-15,1.6732353970092488,5.663348077797413e-13,8.429608355854689e-15,13
AT1G69570,842,842/1447,11104/22994,4.111503922653539e-15,1.5304315282375713,1.87073428480736e-12,2.5912839848656755e-14,14
JKD,698,698/1447,8857/22994,5.2081367391189765e-15,1.5290721510402068,2.3644940795600154e-12,3.0636098465405743e-14,15
PIF5,290,290/1447,3021/22994,2.21361271326621e-14,1.726861052654253,1.002766559109593e-11,1.2207423051100421e-13,16
AT5G66940,857,857/1447,11438/22994,4.889789272891827e-14,1.5053562976206498,2.2101847513471056e-11,2.537952909805447e-13,17
At1g72010,279,279/1447,2923/22994,1.6010048798398848e-13,1.707725034182176,7.22053200807788e-11,7.848063136470023e-13,18
OBP1,750,750/1447,9811/22994,2.7536194497803e-13,1.4827208099854403,1.239128752401135e-10,1.2787706423128326e-12,19
TCP4,289,289/1447,3074/22994,3.266797126108226e-13,1.6812442801446097,1.4667919096225932e-10,1.4412340262242172e-12,20
AT2G28810,725,725/1447,9437/22994,4.091118129643723e-13,1.4793145252407682,1.832820922080388e-10,1.6438837929527486e-12,21
TCP17,287,287/1447,3053/22994,4.09875025709552e-13,1.6798791972429605,1.832820922080388e-10,1.6438837929527486e-12,22
AT5G02460,814,814/1447,10855/22994,6.729405424183485e-13,1.47352048667307,3.0013148191858345e-10,2.581613334085736e-12,23
PTF1,281,281/1447,2993/22994,9.075817529904879e-13,1.6736758329953083,4.038738800807671e-10,3.3366976212885585e-12,24
BZR2,337,337/1447,3784/22994,2.630366011296368e-12,1.594163969741062,1.1678825090155874e-9,9.283644745751886e-12,25
NUC,525,525/1447,6505/22994,5.65941046707831e-12,1.4822589733087432,2.5071188369156914e-9,1.9206144119044035e-11,26
IDD7,578,578/1447,7297/22994,6.006730602468929e-12,1.4678622476167444,2.6549749262912665e-9,1.9629838570159897e-11,27
ATHB40,297,297/1447,3261/22994,6.433887690243674e-12,1.6191402617665376,2.83734447139746e-9,2.0274856166734266e-11,28
dof4.2,682,682/1447,8890/22994,7.894409135892807e-12,1.4487322241986103,3.4735400197928348e-9,2.4019500413466957e-11,29
AT3G45610,658,658/1447,8530/22994,9.814125698025067e-12,1.4486634224638268,4.308401181433005e-9,2.8865075582426668e-11,30
BZR1,251,251/1447,2657/22994,1.105632374610546e-11,1.6695486013518723,4.8426698007941915e-9,3.146961218056582e-11,31
TCP19,299,299/1447,3342/22994,4.2311897560050915e-11,1.5837314918286372,1.849029923374225e-8,1.166688351839639e-10,32
TCP1,280,280/1447,3092/22994,5.892561475671793e-11,1.5985044710244332,2.5691568033929017e-8,1.544371421794141e-10,33
MYC2,198,198/1447,2004/22994,5.950977878646757e-11,1.7327700207749623,2.5886753772113392e-8,1.544371421794141e-10,34
AT1G14580,745,745/1447,9960/22994,6.720727797528625e-11,1.4201811381853906,2.916795864127423e-8,1.6943011254273845e-10,35
BHLH78,125,125/1447,1105/22994,9.198703851971231e-11,1.9843040801848792,3.983038767903543e-8,2.2037864012163462e-10,36
ZHD3,226,226/1447,2380/22994,9.241210975767212e-11,1.6664009414465635,3.992203141531436e-8,2.2037864012163462e-10,37
MGP,548,548/1447,6958/22994,9.989439119748384e-11,1.4394556947115646,4.305448260611553e-8,2.2811272423189724e-10,38
IDD5,569,569/1447,7274/22994,1.0200029851911914e-10,1.4345390306545525,4.386012836322123e-8,2.2811272423189724e-10,39
ATHB53,244,244/1447,2622/22994,1.0341110165179341e-10,1.6349315139985248,4.436336260861937e-8,2.2811272423189724e-10,40
SGR5,600,600/1447,7753/22994,1.3187759785980536e-10,1.4255054617484444,5.6443611883996695e-8,2.8381118621191967e-10,41
AIB,125,125/1447,1113/22994,1.4660411680097816e-10,1.9674764489974579,6.259995787401768e-8,3.079918420188617e-10,42
BEH3,326,326/1447,3757/22994,1.631872359947253e-10,1.5354786387689314,6.951776253375298e-8,3.348575294009411e-10,43
bHLH31,319,319/1447,3661/22994,1.7155301426438157e-10,1.5404793464091489,7.291003106236217e-8,3.440234243269684e-10,44
PIF4,369,369/1447,4376/22994,2.4166163967835236e-10,1.4983351403759904,1.024645352236214e-7,4.738463523104948e-10,45
bZIP68,364,364/1447,4310/22994,2.7980913255779594e-10,1.4991471398032044,1.1835926307194768e-7,5.367182849574091e-10,46
TCP16,279,279/1447,3127/22994,3.130400035652897e-10,1.5682970029934336,1.3210288150455227e-7,5.876846124504812e-10,47
MYC3,305,305/1447,3492/22994,3.8613449247108336e-10,1.5385596199984657,1.625626213303261e-7,7.098060523365502e-10,48
