TF_id,num_TFHit_inputFeature,inputRatio,bgRatio,pvalue,odds_ratio,padj,qvalue,rank
LEC2,803,803/1447,2216/22994,0,17.760884963596954,0,0,1
GSE94307.HEC1.Col-0_seedling_12d,752,752/1447,6425/22994,1.4837986960075292e-88,3.0274586134943458,7.448669453957796e-86,1.85969436566277e-86,2
GSE26722.REV.Col-0_seedling_10d-DEX-90min,676,676/1447,5754/22994,1.8117014761557302e-76,2.843389163897539,9.076624395540208e-74,1.5137772334101213e-74,3
GSE60141.FUS3.Col-0_leaves_tnt_col,138,138/1447,352/22994,1.0822614160957842e-73,10.506899440727379,5.411307080478921e-71,6.782171540866914e-72,4
GSE48081.KAN1.Col-0_seedling_10d-rep1,897,897/1447,9101/22994,1.0786670493724063e-70,2.6524040204639485,5.382548576368308e-68,5.407717474186996e-69,5
GSE84483.FIE.Col_whole-plant_30h,521,521/1447,3993/22994,1.407303149228467e-69,2.928860736094358,7.008369683157766e-67,5.879399823443373e-68,6
GSE20176.AP1.Col_apical-meristem_DEX,636,636/1447,5515/22994,8.034368319827258e-67,2.6788438803365793,3.993081054954147e-64,2.8770690364333798e-65,7
GSE94486.ARR10.Col-0_seedling_3d-6BA-4h,724,724/1447,6869/22994,4.984986150901305e-62,2.509786569285107,2.4725531308470474e-59,1.5619623272824087e-60,8
GSE85922.WRKY18.Col-0_seedling_12d,966,966/1447,10698/22994,8.679485496039768e-58,2.4380859379652486,4.296345320539685e-55,2.417397441859965e-56,9
GSE85922.WRKY18.Col-0_seedling_12d-flg22,882,882/1447,9569/22994,7.286572029214187e-53,2.310885551035462,3.5995665824318084e-50,1.8265007219896895e-51,10
GSE76571.TFL2.Col-0_seedling_14,592,592/1447,5470/22994,1.68831531455045e-50,2.3659464534464663,8.323394500733718e-48,3.8473124743695096e-49,11
GSE80566.AT5G50360.Col-0_seedling_4d-DEX-6h,1056,1056/1447,12613/22994,1.1433751393043846e-48,2.3343640414751907,5.6254056853775726e-46,2.3883836243247144e-47,12
GSE85922.WRKY40.Col-0_seedling_12d-flg22,872,872/1447,9632/22994,7.09916703191274e-48,2.2136149684314876,3.4856910126691555e-45,1.3688650276918924e-46,13
GSE46986.SEP3.Ler_inflorescence_4w-8d,685,685/1447,6854/22994,9.145033029830495e-48,2.240826672704894,4.4810661846169425e-45,1.637396390102984e-46,14
GSE52400.BBM.Col-0_somatic-embryo,973,973/1447,11264/22994,1.3681052635713584e-47,2.2451661595367054,6.690034738863942e-45,2.286255907123692e-46,15
GSE94486.ARR10.Col-0_seedling_3d-mock-4h,772,772/1447,8130/22994,1.988377289213802e-47,2.205439371616894,9.703281171363354e-45,3.1151244197682894e-46,16
GSE80564.HAT22.Col-0_seedling_3d-EtOH,927,927/1447,10527/22994,2.386244055913718e-47,2.2184633898305166,1.1621008552299807e-44,3.518540254994345e-46,17
GSE94486.ARR1.Col-0_seedling_3d-6BA-4h,419,419/1447,3389/22994,5.084224829025905e-47,2.5492035271320077,2.47093326690659e-44,7.080253835976815e-46,18
GSE94486.ARR1.Col-0_seedling_3d-mock-4h-LD,583,583/1447,5545/22994,3.538401611830443e-45,2.255267644068686,1.7161247817377648e-42,4.668207038765778e-44,19
GSE80564.ABF4.Col-0_seedling_3d-ABA,1022,1022/1447,12230/22994,1.641454050941486e-44,2.2181951670317956,7.944637606556792e-42,2.0572890771799955e-43,20
GSE78727.RPL.Ler-0_inflorescence-apices,666,666/1447,6720/22994,1.8085225213483436e-44,2.1822566818574733,8.7351637781125e-42,2.1587443429427845e-43,21
GSE80564.MYB44.Col-0_seedling_3d-EtOH,1013,1013/1447,12206/22994,6.327451567985771e-42,2.1590634928742563,3.0498316557691416e-39,7.209459968371665e-41,22
GSE80566.RBOHJ.Col-0_seedling_4d-DEX-6h,1012,1012/1447,12343/22994,6.311567634873356e-39,2.097435307224697,3.035864032374084e-36,6.878694002064873e-38,23
GSE80564.ATHB-6.Col-0_seedling_3d-EtOH,811,811/1447,9118/22994,8.74656359037212e-39,2.0323625424602247,4.198350523378617e-36,9.135299749944212e-38,24
GSE80564.ABF4.Col-0_seedling_3d-EtOH,847,847/1447,9683/22994,1.277884702849534e-38,2.030714564496265,6.121067726649269e-36,1.2812923953904663e-37,25
GSE80564.GBF2.Col-0_seedling_3d-EtOH,1085,1085/1447,13663/22994,9.644262024900744e-38,2.13714754924687,4.6099572479025553e-35,9.298057747083794e-37,26
GSE80564.MYB3.Col-0_seedling_3d-EtOH,805,805/1447,9096/22994,2.186453738621631e-37,2.004753286713474,1.042938433322518e-34,2.0298928536339093e-36,27
GSE85922.WRKY33.Col-0_seedling_12d-flg22,931,931/1447,11089/22994,2.7981037111107903e-37,2.0228703992232266,1.3318973664887362e-34,2.5049690366134692e-36,28
GSE80564.GBF3.Col-0_seedling_3d-ABA,1021,1021/1447,12634/22994,2.5276401728680503e-36,2.0501297586294194,1.200629082112324e-33,2.1848108160882456e-35,29
GSE46986.SEP3.Ler_inflorescence_4w-4d,621,621/1447,6453/22994,5.201944274257421e-36,2.025842533706337,2.4657215859980173e-33,4.3465134380462e-35,30
GSE94486.ARR12.Col-0_seedling_3d-mock-4h,944,944/1447,11402/22994,2.1450517171424214e-35,1.989898892756279,1.0146094622083653e-32,1.7344934314958074e-34,31
GSE80564.GBF3.Col-0_seedling_3d-EtOH,1120,1120/1447,14425/22994,3.88407257187751e-35,2.1216453050370796,1.8332822539261848e-32,3.0425235146373827e-34,32
GSE14600.SEP3.Col-0_inflorescence_5-7w,455,455/1447,4243/22994,4.873146292937515e-35,2.150271917909306,2.2952519039735696e-32,3.701622234635365e-34,33
GSE43283.PIF1.Col-0_seedling_3d,348,348/1447,2909/22994,6.083993695471904e-35,2.347382881892602,2.8594770368717946e-32,4.4854541754851675e-34,34
GSE68193.PIF4.Col-0_seedling_5d,861,861/1447,10095/22994,6.336027163034078e-35,1.9591743711369574,2.9715967394629826e-32,4.5378023110491685e-34,35
GSE94486.ARR1.Col-0_seedling_3d-mock-4h-etiolated,310,310/1447,2467/22994,9.90916720997638e-35,2.4508998046602968,4.637490254268946e-32,6.8997164276872565e-34,36
GSE108455.AGL8.Ler_gynoecium_6w,768,768/1447,8671/22994,1.1191686653997638e-34,1.952712731789218,5.226517667416897e-32,7.58211564306867e-34,37
GSE80564.HAT22.Col-0_seedling_3d-ABA,1004,1004/1447,12447/22994,1.6959269561057903e-34,2.0011007223773354,7.903019615452983e-32,1.1187167289399599e-33,38
GSE35059.PIF5.Col-0_seedling_14d,264,264/1447,1960/22994,3.3275809454260784e-34,2.611867830754782,1.5473251396231264e-31,2.1387528811627444e-33,39
GSE95562.FIE.Ws_whole-plant_30h-wt,200,200/1447,1283/22994,3.5945315891781214e-34,3.0303521526355355,1.6678626573786482e-31,2.2525731292182894e-33,40
