TF_id,input_meanMotifScore,bg_meanMotifScore,pvalue,padj,qvalue,rank
LEC2,4.7317047736351485,1.4693284430926692,2.6935991023569233e-52,1.2606043799030402e-49,2.9090870305454774e-50,1
FUS3,6.001376242604733,2.073707208548215,3.0322756283128564e-49,1.416072718422104e-46,1.6374288392889425e-47,2
ABI3,4.333802535749135,0.9834459530567652,1.2294829408275195e-47,5.729390504256241e-45,4.42613858697907e-46,3
HBI1,2.9353840733630876,1.7585988934077845,3.5525388006502023e-16,1.6519305423023441e-13,8.062903503316144e-15,4
TCP24,2.65640119595665,1.504385132003158,3.732825695979696e-16,1.732031122934579e-13,8.062903503316144e-15,5
TCP3,2.5829772910649966,1.4581739387656276,1.3619573098372133e-15,6.305862344546298e-13,2.451523157706984e-14,6
bHLH80,3.0688776088856655,1.570220647554296,6.563382242206255e-14,3.03228259589929e-11,1.012636117368965e-12,7
bHLH130,3.10330665187495,1.6272289474552173,7.983819446060435e-14,3.6805407646338605e-11,1.0778156252181588e-12,8
AT1G69570,41.82314921427196,30.1522007699388,4.001731693521207e-13,1.8407965790197553e-10,4.802078032225449e-12,9
TCP5,1.5711091419191991,0.8740836083226705,4.740180615851753e-13,2.1757429026759547e-10,5.1193950651198944e-12,10
JKD,16.134955692427496,11.263302561205755,9.372776962150724e-13,4.2927318486650316e-10,9.202362835566167e-12,11
AT5G66940,52.012047539026995,38.130215155984,4.294516323715337e-12,1.962593959937909e-9,3.865064691343803e-11,12
PTF1,1.8668992429817672,1.073077268808745,1.7191800823284717e-11,7.839461175417831e-9,1.4282419145498072e-10,13
OBP3,68.17504152951258,49.019853728603074,2.44993485675914e-11,1.1147203598254087e-8,1.8899497466427654e-10,14
IDD7,9.954498222824848,6.839247185718044,3.283265751624599e-11,1.4906026512375682e-8,2.3639513411697117e-10,15
BZR1,3.0325837628043253,1.7667543348897543,5.27096367451601e-11,2.3877465445557524e-8,3.5579004802983066e-10,16
AT5G02460,40.05395725787909,29.877601726448543,7.891196633077426e-11,3.5668208781509965e-8,5.013230802190364e-10,17
ZHD3,3.547122290723532,2.030243147937126,1.5491669946220816e-10,6.986743145745588e-8,9.295001967732491e-10,18
PIF3,4.010127284152927,2.6744688754448473,2.5317142185152953e-10,1.1392713983318829e-7,1.3724399951009646e-9,19
AT1G14580,20.651898790162445,14.766237006838887,2.541555546483268e-10,1.1411584403709872e-7,1.3724399951009646e-9,20
PIF5,2.8531274038503356,1.745419845090667,2.780636564355708e-10,1.245725180831357e-7,1.381559557361699e-9,21
IDD4,12.052081830635997,8.462229102308278,2.894409468331976e-10,1.293801032344393e-7,1.381559557361699e-9,22
TCP17,1.8975760066006688,1.1682057732612265,2.94221016845547e-10,1.3122257351311395e-7,1.381559557361699e-9,23
NUC,8.848263262465666,6.1747282796883045,3.293842917089714e-10,1.4657600981049227e-7,1.4822293126903714e-9,24
OBP1,21.484113674133418,16.42759210498931,5.860574753294103e-10,2.6020951904625814e-7,2.5317682934230523e-9,25
TCP4,2.013418608676858,1.2001892262786547,6.740389164326348e-10,2.985992399796572e-7,2.7998539605663295e-9,26
AT2G28810,21.05152009891591,16.153576116441364,8.667777167081597e-10,3.831157507850066e-7,3.432970652268041e-9,27
ATHB40,5.9713791080409715,3.6032781796805478,8.900294283657883e-10,3.9250297790931263e-7,3.432970652268041e-9,28
IDD2,22.463685313320696,16.85205644915902,1.1057478305417643e-9,4.865290454383763e-7,4.1179574378796746e-9,29
TCP19,2.4488047921019076,1.552489425665321,1.6226912636020539e-9,7.123614647213016e-7,5.732764685954669e-9,30
TCP21,2.605989492601681,1.681790298081702,1.6455157894869881e-9,7.207359157953008e-7,5.732764685954669e-9,31
IDD5,8.91707594014572,6.4185252882911525,2.20355307561363e-9,9.629526940431562e-7,7.4369916301960004e-9,32
Adof1,22.781066726127992,16.804461533043877,2.37905866092363e-9,1.0372695761627027e-6,7.78601016302279e-9,33
ATHB53,3.5881291733001546,2.192080841423809,4.935956952380891e-9,2.147141274285688e-6,1.5678922084033423e-8,34
AT3G45610,15.59775651588571,11.594503208448883,7.97923170794948e-9,3.462986561250074e-6,2.4061088703265206e-8,35
HDG1,2.310343542369282,1.3182614739934742,8.020362901088401e-9,3.4728171361712776e-6,2.4061088703265206e-8,36
BZR2,4.074366420975998,2.7011410414028694,9.45078967230154e-9,4.082741138434265e-6,2.75860887732045e-8,37
bHLH31,4.0932612901299255,2.8420450290180646,9.873608358503534e-9,4.255525202515023e-6,2.8061834282062676e-8,38
MGP,9.71475293149572,6.928480933675702,1.0415946267477e-8,4.47885689501511e-6,2.8844158894551695e-8,39
bHLH69,2.7816067201044805,1.8929623582980626,1.4897392179335068e-8,6.3909812449347445e-6,4.0222958884204686e-8,40
AP1,22.331133746215592,17.049714678212755,1.817830947338095e-8,7.780316454607046e-6,4.7884327393296167e-8,41
At1g72010,2.2458346855581115,1.4629431227806529,1.9138487685592516e-8,8.172134241748005e-6,4.921325404866647e-8,42
bZIP68,4.317127210675609,2.9000629075423703,2.193935166438761e-8,9.346163809029123e-6,5.5103487901252605e-8,43
SGR5,11.571028049960512,8.647070669994024,2.2541468592897126e-8,9.58012415198128e-6,5.532905927347477e-8,44
KAN1,2.091358586342292,1.3068592170309514,2.7511536758765926e-8,1.1664891585716754e-5,6.602768822103823e-8,45
MYC3,5.279117374272991,3.4867499236623436,3.311442174366971e-8,1.4007400397572287e-5,7.774690322426802e-8,46
HY5,5.406575515903561,3.39191144410017,3.926549626455662e-8,1.6570039423642894e-5,9.02270977994067e-8,47
