gene_id,peakNumber
AT2G05940,7
AT3G14440,7
AT1G36060,6
AT1G64060,6
AT3G20830,6
AT4G16780,6
AT5G60680,6
AT1G05413,5
AT1G22030,5
AT1G32240,5
AT1G58350,5
AT1G69760,5
AT2G23340,5
AT2G23690,5
AT2G23760,5
AT2G28500,5
AT2G36050,5
AT3G47610,5
AT4G19230,5
AT4G27260,5
AT4G30200,5
AT5G43890,5
AT5G44190,5
AT5G45100,5
AT5G50150,5
AT5G53290,5
AT1G01120,4
AT1G03230,4
AT1G05313,4
AT1G06373,4
AT1G08297,4
AT1G13370,4
AT1G16500,4
AT1G18400,4
AT1G19835,4
AT1G19850,4
AT1G21740,4
AT1G22640,4
AT1G22720,4
AT1G25560,4
AT1G29660,4
AT1G30020,4
AT1G30190,4
AT1G30350,4
AT1G32230,4
AT1G35780,4
AT1G37140,4
AT1G44100,4
AT1G44608,4
AT1G44760,4
AT1G45130,4
AT1G46192,4
AT1G46264,4
AT1G47860,4
AT1G54200,4
AT1G59650,4
AT1G60010,4
AT1G61255,4
AT1G61260,4
AT1G61890,4
AT1G64390,4
AT1G66390,4
AT1G67480,4
AT1G68550,4
AT1G71695,4
AT1G72210,4
AT1G76420,4
AT1G78080,4
AT1G78100,4
AT2G01940,4
AT2G02070,4
AT2G02440,4
AT2G06850,4
AT2G09750,4
AT2G15090,4
AT2G18160,4
AT2G18890,4
AT2G18960,4
AT2G20100,4
AT2G20180,4
AT2G26580,4
AT2G28080,4
AT2G28355,4
AT2G28610,4
AT2G36420,4
AT2G36690,4
AT2G37380,4
AT2G43140,4
AT3G03660,4
AT3G04070,4
AT3G04325,4
AT3G05220,4
AT3G16400,4
AT3G16857,4
AT3G21230,4
AT3G22380,4
AT3G23240,4
AT3G23250,4
AT3G24480,4
AT3G28860,4
AT3G30170,4
AT3G41979,4
AT3G44610,4
AT3G44720,4
AT3G47500,4
AT3G48740,4
AT3G48745,4
AT3G51680,4
AT3G51860,4
AT3G55950,4
AT3G60140,4
AT4G04630,4
AT4G05100,4
AT4G08150,4
AT4G08950,4
AT4G09655,4
AT4G11280,4
AT4G15480,4
AT4G15620,4
AT4G16770,4
AT4G18390,4
AT4G19170,4
AT4G19220,4
AT4G22190,4
AT4G22540,4
AT4G26130,4
AT4G28720,4
AT4G31875,4
AT4G33040,4
AT4G34160,4
AT4G34410,4
AT4G37240,4
AT4G37250,4
AT4G37580,4
AT4G37790,4
AT5G01655,4
AT5G05140,4
AT5G08675,4
AT5G09170,4
AT5G25160,4
AT5G25190,4
AT5G25220,4
AT5G25280,4
AT5G26230,4
AT5G27150,4
AT5G28300,4
AT5G28640,4
AT5G37793,4
AT5G38200,4
AT5G39760,4
AT5G43420,4
AT5G43810,4
AT5G44050,4
AT5G45130,4
AT5G45340,4
AT5G46720,4
AT5G49120,4
AT5G51810,4
AT5G52050,4
AT5G52400,4
AT5G53200,4
AT5G53280,4
AT5G54510,4
AT5G62170,4
AT5G65140,4
AT5G65640,4
AT1G01010,3
AT1G01180,3
AT1G01490,3
AT1G02390,3
AT1G03440,3
AT1G04180,3
AT1G04360,3
AT1G04520,3
AT1G04680,3
AT1G05003,3
AT1G05007,3
AT1G05300,3
AT1G05470,3
AT1G05617,3
AT1G05647,3
AT1G05963,3
AT1G06160,3
AT1G06180,3
AT1G07090,3
AT1G07250,3
AT1G07317,3
AT1G07430,3
AT1G08497,3
AT1G08933,3
AT1G08967,3
AT1G09063,3
AT1G09123,3
AT1G09273,3
AT1G10640,3
AT1G10650,3
AT1G10682,3
AT1G11210,3
AT1G11260,3
AT1G12110,3
AT1G12370,3
AT1G13260,3
AT1G14440,3
AT1G14580,3
AT1G14630,3
AT1G14780,3
AT1G14870,3
AT1G15550,3
AT1G17200,3
AT1G18730,3
AT1G19840,3
AT1G20620,3
AT1G20900,3
AT1G20980,3
AT1G21000,3
AT1G22330,3
AT1G23070,3
AT1G25550,3
AT1G26630,3
AT1G26940,3
AT1G26950,3
AT1G28135,3
AT1G28310,3
AT1G28360,3
AT1G29050,3
AT1G29060,3
AT1G30100,3
AT1G30110,3
AT1G30320,3
AT1G30340,3
AT1G30475,3
AT1G30620,3
AT1G30660,3
AT1G31030,3
AT1G31040,3
AT1G31130,3
AT1G31258,3
AT1G31850,3
AT1G31880,3
AT1G31910,3
AT1G32170,3
AT1G32450,3
AT1G32650,3
AT1G32740,3
AT1G33240,3
AT1G34370,3
AT1G35230,3
AT1G35895,3
AT1G36070,3
AT1G36580,3
AT1G37130,3
AT1G42470,3
AT1G43700,3
AT1G44170,3
AT1G44350,3
AT1G48000,3
AT1G48330,3
AT1G49500,3
AT1G49780,3
AT1G50650,3
AT1G52565,3
AT1G55270,3
AT1G55590,3
AT1G55690,3
AT1G55700,3
AT1G58360,3
AT1G59750,3
AT1G60590,3
AT1G60900,3
AT1G61660,3
AT1G61840,3
AT1G61900,3
AT1G62520,3
AT1G62570,3
AT1G63000,3
AT1G63090,3
AT1G63245,3
AT1G63820,3
AT1G63850,3
AT1G64385,3
AT1G65980,3
AT1G66145,3
AT1G66400,3
AT1G66480,3
AT1G67040,3
AT1G67340,3
AT1G67740,3
AT1G68460,3
AT1G68470,3
AT1G68490,3
AT1G68540,3
AT1G68825,3
AT1G69580,3
AT1G69780,3
AT1G69850,3
AT1G69870,3
AT1G70370,3
AT1G70740,3
AT1G70750,3
AT1G70940,3
AT1G71880,3
AT1G73210,3
AT1G74650,3
AT1G75240,3
AT1G75580,3
AT1G76880,3
AT1G77640,3
AT1G77740,3
AT1G77750,3
AT1G77760,3
AT1G78240,3
AT1G78390,3
AT1G79110,3
AT1G79420,3
AT1G80340,3
AT1G80820,3
AT1G80840,3
AT2G01190,3
AT2G01818,3
AT2G01830,3
AT2G01840,3
AT2G03090,3
AT2G03340,3
AT2G03990,3
AT2G04190,3
AT2G04355,3
AT2G04505,3
AT2G04675,3
AT2G05100,3
AT2G05910,3
AT2G06200,3
AT2G06605,3
AT2G07626,3
AT2G07667,3
AT2G07711,3
AT2G08100,3
AT2G08930,3
AT2G09010,3
AT2G12400,3
AT2G14900,3
AT2G15430,3
AT2G16720,3
AT2G17540,3
AT2G18170,3
AT2G18480,3
AT2G18550,3
AT2G18560,3
AT2G18700,3
AT2G19810,3
AT2G20110,3
AT2G22426,3
AT2G22620,3
AT2G22680,3
AT2G22760,3
AT2G22970,3
AT2G22990,3
