seqnames,start,end,width,strand,feature_id,score,gene_id,distanceToTSS,promoter_feature,cor,pvalue,padj,qvalue
Chr1,44842,45374,533,*,ATAC_11,0,AT1G01080,1684,ATAC_12,0.8189190807366231,1.0450894667878213e-4,1,0.0033499061463769025
Chr1,49072,50334,1263,*,ATAC_13,0,AT1G01080,-2012,ATAC_12,0.8454729169639047,3.711248298019303e-5,1,0.0015948627196033683
Chr1,46751,47529,779,*,ATAC_12,0,AT1G01090,1774,ATAC_13,0.8454729169639047,3.711248298019303e-5,1,0.0015948627196033683
Chr1,107423,109077,1655,*,ATAC_34,0,AT1G01240,7557,ATAC_32,0.8584676372332753,2.0807647243313093e-5,1,0.0010393471211908284
Chr1,99168,99916,749,*,ATAC_32,0,AT1G01260,-9029,ATAC_34,0.8584676372332753,2.0807647243313093e-5,1,0.0010393471211908284
Chr1,201671,202073,403,*,ATAC_62,0,AT1G01550,2143,ATAC_61,0.8782985365446465,7.641285760916186e-6,1,4.7711325195939875e-4
Chr1,198400,199859,1460,*,ATAC_61,0,AT1G01560,-2243,ATAC_62,0.8782985365446465,7.641285760916186e-6,1,4.7711325195939875e-4
Chr1,210553,211023,471,*,ATAC_64,0,AT1G01600,-7810,ATAC_65,0.847244820969022,3.440419076993221e-5,1,0.0015099998565911705
Chr1,237736,238498,763,*,ATAC_68,0,AT1G01600,18901,ATAC_65,0.8530100412668771,2.6708173427473722e-5,1,0.0012508691329539824
Chr1,218588,220681,2094,*,ATAC_65,0,AT1G01650,17223,ATAC_68,0.8530100412668771,2.6708173427473722e-5,1,0.0012508691329539824
Chr1,269367,270962,1596,*,ATAC_75,0,AT1G01720,1373,ATAC_74,0.8854611473512795,5.097252645886207e-6,1,3.4416455087713443e-4
Chr1,267729,268543,815,*,ATAC_74,0,AT1G01725,2315,ATAC_75,0.8854611473512795,5.097252645886207e-6,1,3.4416455087713443e-4
Chr1,267729,268543,815,*,ATAC_74,0,AT1G01730,-2253,ATAC_75,0.8854611473512795,5.097252645886207e-6,1,3.4416455087713443e-4
Chr1,447767,448051,285,*,ATAC_118,0,AT1G02250,-8207,ATAC_115,0.8126287093476849,1.303847815647314e-4,1,0.003911345804405088
Chr1,482061,484102,2042,*,ATAC_129,0,AT1G02390,1410,ATAC_128,0.8457649024573494,3.6654304142715683e-5,1,0.0015808841211383759
Chr1,571897,572120,224,*,ATAC_149,0,AT1G02610,-15744,ATAC_145,0.8611668461387895,1.8320811646159967e-5,1,9.472089093577082e-4
Chr1,571897,572120,224,*,ATAC_149,0,AT1G02620,14804,ATAC_145,0.8611668461387895,1.8320811646159967e-5,1,9.472089093577082e-4
Chr1,662243,662841,599,*,ATAC_173,0,AT1G02920,-2262,ATAC_172,0.8073138876141107,1.5620807549213177e-4,1,0.004438736182050814
Chr1,659806,660362,557,*,ATAC_172,0,AT1G02930,2112,ATAC_173,0.8073138876141107,1.5620807549213177e-4,1,0.004438736182050814
Chr1,849487,851031,1545,*,ATAC_203,0,AT1G03440,-1119,ATAC_204,0.8547537248919177,2.468746809724976e-5,1,0.00117786750462934
Chr1,952640,953249,610,*,ATAC_229,0,AT1G03790,-1040,ATAC_230,0.8325002606581369,6.291908122281142e-5,1,0.002337686318219166
Chr1,46751,47529,779,*,ATAC_12,0,AT1G04003,-3455,ATAC_11,0.8189190807366231,1.0450894667878213e-4,1,0.0033499061463769025
Chr1,269367,270962,1596,*,ATAC_75,0,AT1G04043,-1030,ATAC_74,0.8854611473512795,5.097252645886207e-6,1,3.4416455087713443e-4
Chr1,267729,268543,815,*,ATAC_74,0,AT1G04047,-1523,ATAC_75,0.8854611473512795,5.097252645886207e-6,1,3.4416455087713443e-4
Chr1,1084355,1086207,1853,*,ATAC_259,0,AT1G04120,-13274,ATAC_257,0.896438065147565,2.595090789858671e-6,0.5270888903281947,1.9905754547016718e-4
Chr1,1084355,1086207,1853,*,ATAC_259,0,AT1G04130,11080,ATAC_257,0.896438065147565,2.595090789858671e-6,0.5270888903281947,1.9905754547016718e-4
Chr1,1070469,1073376,2908,*,ATAC_257,0,AT1G04150,11054,ATAC_259,0.896438065147565,2.595090789858671e-6,0.5270888903281947,1.9905754547016718e-4
Chr1,1070469,1073376,2908,*,ATAC_257,0,AT1G04160,-12793,ATAC_259,0.896438065147565,2.595090789858671e-6,0.5270888903281947,1.9905754547016718e-4
Chr1,1084355,1086207,1853,*,ATAC_259,0,AT1G04243,-11574,ATAC_257,0.896438065147565,2.595090789858671e-6,0.5270888903281947,1.9905754547016718e-4
Chr1,1647032,1647992,961,*,ATAC_386,0,AT1G04397,-13415,ATAC_389,0.8305960197793703,6.77363046800935e-5,1,0.0024649939888277427
Chr1,1840968,1842122,1155,*,ATAC_419,0,AT1G04443,-1238,ATAC_418,0.8960847837649237,2.6551269018046354e-6,0.5392562737565214,2.0295465966285736e-4
Chr1,1843064,1843536,473,*,ATAC_420,0,AT1G04443,-3334,ATAC_418,0.8168387541194296,1.1254406855753839e-4,1,0.0035193918254778954
Chr1,1890921,1892119,1199,*,ATAC_434,0,AT1G04447,3516,ATAC_432,0.9322901658717566,1.4609636688219987e-7,0.029763190150342404,1.7443421421410178e-5
Chr1,2339124,2340176,1053,*,ATAC_527,0,AT1G04603,-382,ATAC_528,0.846561542398196,3.5428246708299006e-5,1,0.001538211006343991
Chr1,3239452,3240807,1356,*,ATAC_711,0,AT1G04753,7250,ATAC_713,0.8715277943464901,1.0955567770037946e-5,1,6.395595462213896e-4
Chr1,3419659,3422215,2557,*,ATAC_748,0,AT1G04793,-504,ATAC_749,0.9139415250370174,7.448164087042454e-7,0.151544815413418,7.220140449795261e-5
Chr1,3423615,3424304,690,*,ATAC_750,0,AT1G04793,894,ATAC_749,0.8235687166740745,8.826347002788255e-5,1,0.002978233711597266
Chr1,3440697,3441064,368,*,ATAC_752,0,AT1G04793,17976,ATAC_749,0.817237685035114,1.1096463379050615e-4,1,0.0034881901401224965
Chr1,3947147,3947388,242,*,ATAC_870,0,AT1G04867,3967,ATAC_867,0.8116785647364517,1.3472031462836745e-4,1,0.004005882392750949
Chr1,4525759,4526782,1024,*,ATAC_1007,0,AT1G04997,581,ATAC_1008,0.9673319746041785,9.76581088051156e-10,1.9947547646424106e-4,2.2683732080437076e-7
Chr1,4621459,4622228,770,*,ATAC_1034,0,AT1G05013,9932,ATAC_1032,0.8215464196418331,9.50490572540081e-5,1,0.0031413173731743844
Chr1,4906283,4907202,920,*,ATAC_1097,0,AT1G05067,3363,ATAC_1094,0.8121957099747354,1.3234594654488001e-4,1,0.003954167456354681
Chr1,4907439,4907911,473,*,ATAC_1098,0,AT1G05067,4519,ATAC_1094,0.8159663927813234,1.1606318292957689e-4,1,0.0036038132739881195
Chr1,4967570,4968324,755,*,ATAC_1113,0,AT1G05093,14552,ATAC_1109,0.8568173624486111,2.2463137196463366e-5,1,0.0011054220691732197
Chr1,4969909,4971012,1104,*,ATAC_1114,0,AT1G05093,16891,ATAC_1109,0.8143333705912452,1.228971559567367e-4,1,0.003766371995948619
Chr1,5147679,5148486,808,*,ATAC_1171,0,AT1G05133,1020,ATAC_1170,0.8631941452744729,1.6621530698034162e-5,1,8.806963654995883e-4
Chr1,5151010,5152019,1010,*,ATAC_1173,0,AT1G05137,18287,ATAC_1178,0.8363954816887714,5.395168867528844e-5,1,0.002103435616398658
Chr1,5168184,5169119,936,*,ATAC_1177,0,AT1G05137,1187,ATAC_1178,0.8529102956810789,2.682783528655124e-5,1,0.0012529153045919748
Chr1,1494745,1496039,1295,*,ATAC_353,0,AT1G05160,-3739,ATAC_352,0.8028237053873403,1.8121076807785843e-4,1,0.004923340335338853
Chr1,1489702,1490515,814,*,ATAC_352,0,AT1G05170,3732,ATAC_353,0.8028237053873403,1.8121076807785843e-4,1,0.004923340335338853
Chr1,5385992,5389050,3059,*,ATAC_1228,0,AT1G05177,7580,ATAC_1231,0.8104806774092579,1.4035651021184644e-4,1,0.004102282287834061
Chr1,5478211,5478766,556,*,ATAC_1252,0,AT1G05213,2963,ATAC_1253,0.8153351946908697,1.1866614300075297e-4,1,0.0036609612353574834
Chr1,5630482,5631279,798,*,ATAC_1279,0,AT1G05227,1558,ATAC_1278,0.9028740644175237,1.6855527745973984e-6,0.3425835447785974,1.4056927690384548e-4
Chr1,5877764,5878526,763,*,ATAC_1332,0,AT1G05297,19828,ATAC_1325,0.835075577886861,5.6862057057553674e-5,1,0.0021736991278335713
Chr1,5938529,5939578,1050,*,ATAC_1342,0,AT1G05303,7180,ATAC_1345,0.8830698459234273,5.851854416101403e-6,1,3.835343563326605e-4
Chr1,5959681,5960010,330,*,ATAC_1348,0,AT1G05303,-12921,ATAC_1345,0.8455294283883014,3.7023434037880054e-5,1,0.0015930683300415947
Chr1,6139033,6140395,1363,*,ATAC_1387,0,AT1G05333,-3687,ATAC_1385,0.8111263784879572,1.3729456166274365e-4,1,0.0040359060846417855
Chr1,6230961,6232154,1194,*,ATAC_1407,0,AT1G05373,11561,ATAC_1401,0.8751056212165765,9.079612119711788e-6,1,5.482395845891575e-4
Chr1,6230961,6232154,1194,*,ATAC_1407,0,AT1G05377,-11230,ATAC_1401,0.8751056212165765,9.079612119711788e-6,1,5.482395845891575e-4
Chr1,6527720,6529097,1378,*,ATAC_1473,0,AT1G05453,2395,ATAC_1472,0.8692910900172097,1.2286205442365623e-5,1,6.998963894773052e-4
Chr1,6795736,6796324,589,*,ATAC_1528,0,AT1G05507,-17322,ATAC_1533,0.8392396705610102,4.8101312222749884e-5,1,0.0019371692488567782
Chr1,6939278,6939958,681,*,ATAC_1565,0,AT1G05517,2196,ATAC_1566,0.857903918479618,2.136122474188658e-5,1,0.001063092261139031
Chr1,1661061,1661564,504,*,ATAC_389,0,AT1G05560,-13625,ATAC_386,0.8305960197793703,6.77363046800935e-5,1,0.0024649939888277427
Chr1,1647032,1647992,961,*,ATAC_386,0,AT1G05575,14266,ATAC_389,0.8305960197793703,6.77363046800935e-5,1,0.0024649939888277427
Chr1,7334148,7334940,793,*,ATAC_1647,0,AT1G05613,2011,ATAC_1649,0.8340055287772128,5.93167115130792e-5,1,0.0022376308383270354
Chr1,7335367,7336169,803,*,ATAC_1648,0,AT1G05613,782,ATAC_1649,0.876375466472313,8.482484185200237e-6,1,5.176329387145014e-4
Chr1,7339353,7339909,557,*,ATAC_1650,0,AT1G05613,-2400,ATAC_1649,0.9243200234073911,3.115938448606277e-7,0.06344611550283129,3.400298974244183e-5
Chr1,7340353,7341144,792,*,ATAC_1651,0,AT1G05613,-3400,ATAC_1649,0.9428967916289009,4.561453117160334e-8,0.009300711676827578,6.478016303451959e-6
Chr1,7342114,7342714,601,*,ATAC_1652,0,AT1G05613,-5161,ATAC_1649,0.8481624050714045,3.3068060975012856e-5,1,0.0014640199702360285
Chr1,7347803,7349566,1764,*,ATAC_1656,0,AT1G05613,-10850,ATAC_1649,0.884914926229459,5.2619495030624035e-6,1,3.520418548532962e-4
Chr1,7343669,7344109,441,*,ATAC_1653,0,AT1G05617,-637,ATAC_1654,0.9041659415939215,1.5401640606365668e-6,0.31309841172274705,1.321293922292716e-4
Chr1,7345958,7346200,243,*,ATAC_1655,0,AT1G05617,1210,ATAC_1654,0.819236198009406,1.033271644737957e-4,1,0.003324505484446406
Chr1,7391562,7392258,697,*,ATAC_1668,0,AT1G05633,-9086,ATAC_1670,0.8530356805206938,2.6677487152511492e-5,1,0.0012504765479405407
