gene_id,withPeakN,sumRP,RP_rank,log2FoldChange,padj,diff_rank,rankProduct,rankOf_rankProduct,gene_category,symbol,fullname,Second
AT2G30470,7,7.0264838659243445,2,3.6998536281007546,5.268449903239644e-64,2,4,1,up,HSI2,high-level expression of sugar-inducible gene 2,VAL1--VP1/ABI3-LIKE 1
AT5G08460,6,7.046662583291652,1,4.554614991813972,3.6034134846987484e-51,8,8,2,up,NA,NA,NA
AT1G11170,2,3.464122495081721,54,3.260639972287819,2.7593874672956014e-62,3,162,3,up,NA,NA,NA
AT3G43270,4,2.3526079554915396,194,4.301469890238186,1.0329917053571374e-108,1,194,4,up,NA,NA,NA
AT5G15830,2,3.8737815796967503,33,6.779295079337852,1.8755767009473117e-56,6.5,214.5,5,up,AtbZIP3,basic leucine-zipper 3,bZIP3--basic leucine-zipper 3
AT2G13810,3,5.147604129216102,10,4.602502928071087,1.8331227510915126e-21,42,420,6,up,ALD1,AGD2-like defense response protein 1,"AtALD1--NA,   EDTS5--eds two suppressor 5"
AT5G23360,5,3.082765362156644,88,3.3122750275231074,1.8755767009473117e-56,6.5,572,7,up,NA,NA,NA
AT5G07550,5,3.759361138304925,36,8.162228609435322,3.3210193822436464e-36,16,576,8,up,ATGRP19,NA,GRP19--glycine-rich protein 19
AT5G57785,6,5.970995900406179,6,5.748650138114748,2.691944427673884e-10,100,600,9,up,NA,NA,NA
AT3G59850,2,2.5948715491628445,156,4.139314317454363,1.54534762015225e-59,4,624,10,up,NA,NA,NA
AT1G02040,2,4.424912003688574,17,4.494702716306424,9.612410959988677e-16,61,1037,11,up,NA,NA,NA
AT5G23350,5,3.195039944785233,76,3.380852625229779,9.899812882359488e-38,15,1140,12,up,NA,NA,NA
AT4G30060,6,3.538392856242569,50,2.0467582094455516,3.8114197742924404e-29,23,1150,13,up,NA,NA,NA
AT5G20045,4,4.846937945453119,11,2.369496219659688,4.980809052384263e-9,119,1309,14,up,NA,NA,NA
AT1G11370,2,4.434612694383177,15,2.83647170635274,1.1865716374353816e-10,94,1410,15,up,NA,NA,NA
AT5G58660,7,4.013136510027056,28,2.3103827112661732,4.748419544028956e-18,52,1456,16,up,NA,NA,NA
AT1G01580,3,2.634537320183843,149,2.7190586692360883,4.4278933649173935e-42,11,1639,17,up,ATFRO2,FERRIC REDUCTION OXIDASE 2,"FRD1--FERRIC CHELATE REDUCTASE DEFECTIVE 1,   FRO2--ferric reduction oxidase 2"
AT2G26870,2,2.5324491872409047,171,2.4582622173954642,9.576093388021174e-43,10,1710,18,up,NPC2,non-specific phospholipase C2,NA
AT3G06565,4,6.515043639777032,3,0.29724479466288084,0.32511098094374075,736.5,2209.5,19,static,NA,NA,NA
AT5G20050,4,3.5859409605991264,44,0.9815970067932501,8.570874314080333e-18,54,2376,20,static,NA,NA,NA
AT5G23370,5,2.6262615658273267,150,4.764406914351449,2.0784748532466754e-35,18,2700,21,up,NA,NA,NA
AT1G02400,5,3.074359932734457,89,2.212769240395355,3.88510190430429e-24,33,2937,22,up,ATGA2OX4,Arabidopsis thaliana gibberellin 2-oxidase 4,"ATGA2OX6--ARABIDOPSIS THALIANA GIBBERELLIN 2-OXIDASE 6,   DTA1--DOWNSTREAM TARGET OF AGL15 1,   GA2OX6--gibberellin 2-oxidase 6"
AT4G27810,2,2.898014825168778,117,3.3201772527048905,3.2425936964671036e-25,30,3510,23,up,NA,NA,NA
AT2G34700,5,2.077652984795887,261,5.449756649941677,3.27502003224235e-38,14,3654,24,up,NA,NA,NA
AT1G67100,9,4.6255703965926385,14,2.220835323784759,4.9178798771433e-4,283,3962,25,up,LBD40,LOB domain-containing protein 40,NA
AT2G34185,2,2.359855846114513,192,2.9347094020451188,1.0990374325401869e-29,22,4224,26,up,NA,NA,NA
