TF_id,num_TFHit_input,inputRatio,bgRatio,pvalue,odds_ratio,padj,qvalue,rank,symbol,fullname,Second
AT3G26790,332,332/920,3674/31393,1.5607371887750195e-85,4.583527344988544,2.2037609105503275e-82,5.189451152676939e-83,1,FUS3,FUSCA3,NA
AT1G69120,431,431/920,6567/31393,3.683648334942851e-71,3.495673137620118,5.1976278006043625e-68,6.12406535684249e-69,2,AGL7,AGAMOUS-like 7,"AP1--APETALA1,   AtAP1--NA"
AT2G43010,426,426/920,6968/31393,1.1879292183513452e-60,3.154303125922696,1.6749801978753967e-57,1.3166215503394073e-58,3,AtPIF4,NA,"PIF4--phytochrome interacting factor 4,   SRL2--NA"
AT3G24650,160,160/920,1254/31393,1.3192995013744772e-57,5.652864983673668,1.8588929974366384e-54,1.0966677105175341e-55,4,ABI3,ABA INSENSITIVE 3,"ABI3--ABSCISIC ACID INSENSITIVE 3,   AtABI3--NA,   SIS10--SUGAR INSENSITIVE 10"
AT4G36920,271,271/920,3610/31393,7.99152276546874e-51,3.3933256608400493,1.1252064053779984e-47,4.778620188534214e-49,5,AP2,APETALA 2,"AtAP2--NA,   FL1--FLOWER 1,   FLO2--FLORAL MUTANT 2"
AT1G09530,397,397/920,6739/31393,8.623074024422642e-51,2.8881377186000106,1.2132665152362657e-47,4.778620188534214e-49,6,PAP3,PHYTOCHROME-ASSOCIATED PROTEIN 3,"PIF3--phytochrome interacting factor 3,   POC1--PHOTOCURRENT 1"
AT1G28300,190,190/920,1950/31393,2.0599461668443834e-50,4.245877682804067,2.896284310583203e-47,9.78474429251082e-49,7,AtLEC2,NA,LEC2--LEAFY COTYLEDON 2
AT1G24260,348,348/920,5676/31393,9.545316956436189e-47,2.8709716601894404,1.3411170323792846e-43,3.9672723600187905e-45,8,AGL9,AGAMOUS-like 9,SEP3--SEPALLATA3
AT3G59060,321,321/920,5156/31393,1.1007760943801622e-43,2.841640960166418,1.5454896365097478e-40,4.066756126460044e-42,9,A-PUT2,NA,"bHLHb1--NA,   PIF5--PHYTOCHROME-INTERACTING FACTOR 5,   PIL6--phytochrome interacting factor 3-like 6"
AT1G32640,208,208/920,2628/31393,3.27137870238322e-41,3.386256775351318,4.589744319443658e-38,1.0877334185424205e-39,10,ATMYC2,NA,"JAI1--JASMONATE INSENSITIVE 1,   JIN1--JASMONATE INSENSITIVE 1,   MYC2--NA,   RD22BP1--NA,   ZBF1--NA"
